"","date","conduct_period","state","random_value","temp","milk_price","sugar_price","eggs_price","diesel_price","gasoline_price"
"1",1997-06-02,0,"MA",1,65.5,2.64,0.07,1.03,2.07,1.12
"2",1997-06-03,0,"MA",1.01771336553945,67.1,2.69,0.1,1.04,2.05,1.06
"3",1997-06-04,0,"MA",1.0354267310789,68.2,2.61,0.13,1.04,2.04,1.07
"4",1997-06-05,0,"MA",1.05314009661836,79.2,2.62,0.17,1.04,2.09,1.18
"5",1997-06-06,0,"MA",1.07085346215781,72.9,2.63,0.07,1.04,2.08,1.08
"6",1997-06-07,0,"MA",1.08856682769726,67.9,2.62,0.17,1.03,2.07,1.15
"7",1997-06-08,0,"MA",1.10628019323672,59.1,2.57,0.18,1.08,2.14,1.24
"8",1997-06-09,0,"MA",1.12399355877617,65.4,2.69,0.13,1.04,2.14,1.1
"9",1997-06-10,0,"MA",1.14170692431562,76.1,2.65,0.1,1.03,2.06,1.08
"10",1997-06-11,0,"MA",1.15942028985507,70.3,2.6,0.05,1.08,2.15,1.15
"11",1997-06-12,0,"MA",1.17713365539452,58.6,2.68,0.11,1.05,2.1,1.14
"12",1997-06-13,0,"MA",1.19484702093398,61.1,2.66,0.06,1.03,2.06,1.13
"13",1997-06-14,0,"MA",1.21256038647343,67,2.64,0.1,1.12,2.08,1.19
"14",1997-06-15,0,"MA",1.23027375201288,60,2.64,0.13,1.06,2.15,1.17
"15",1997-06-16,0,"MA",1.24798711755233,65.6,2.63,0.04,1.08,2.1,1.07
"16",1997-06-17,0,"MA",1.26570048309179,68.2,2.66,0.12,1.03,2.03,1.04
"17",1997-06-18,0,"MA",1.28341384863124,64.6,2.73,0.06,0.99,2.07,1.1
"18",1997-06-19,0,"MA",1.30112721417069,66.8,2.66,0.06,1.03,2.03,1.16
"19",1997-06-20,0,"MA",1.31884057971015,67,2.64,0.17,1.04,1.98,1.08
"20",1997-06-21,0,"MA",1.3365539452496,66.3,2.7,0.16,1.03,2.05,1.1
"21",1997-06-22,0,"MA",1.35426731078905,67.1,2.69,0.03,1.06,2.07,1.16
"22",1997-06-23,0,"MA",1.3719806763285,68.1,2.65,0.11,1.08,2.07,1.18
"23",1997-06-24,0,"MA",1.38969404186795,70.1,2.68,0.13,1.12,2.09,1.06
"24",1997-06-25,0,"MA",1.40740740740741,74.4,2.65,0.04,1.12,2.13,1.13
"25",1997-06-26,0,"MA",1.42512077294686,68.7,2.66,0.14,1.03,2.09,1.11
"26",1997-06-27,0,"MA",1.44283413848631,72.3,2.75,0.17,1.04,2.04,0.99
"27",1997-06-28,0,"MA",1.46054750402576,67.4,2.67,0.13,1.04,2.05,1.11
"28",1997-06-29,0,"MA",1.47826086956522,67.7,2.65,0.08,1.01,2.04,1.11
"29",1997-06-30,0,"MA",1.49597423510467,60.9,2.63,0.01,1.08,2.03,1.1
"30",1997-07-02,0,"MA",1.51368760064412,67.2,2.67,0.02,1.12,2.06,1.08
"31",1997-07-03,0,"MA",1.53140096618357,71,2.69,0.13,1,2.14,1.17
"32",1997-07-04,0,"MA",1.54911433172303,78.8,2.62,0.05,1.01,2.05,1.13
"33",1997-07-06,0,"MA",1.56682769726248,66.2,2.73,0.18,0.96,2.1,1.11
"34",1997-07-07,0,"MA",1.58454106280193,70.8,2.69,0.12,1.11,2.05,1.03
"35",1997-07-09,0,"MA",1.60225442834138,65.5,2.6,0.01,1.03,2.08,1.19
"36",1997-07-10,0,"MA",1.61996779388084,60.3,2.66,0.09,1.12,2.05,1.21
"37",1997-07-11,0,"MA",1.63768115942029,72.6,2.65,0.16,1.03,2.06,1.07
"38",1997-07-12,0,"MA",1.65539452495974,61.9,2.64,0.2,1.07,2.12,1.07
"39",1997-07-13,0,"MA",1.67310789049919,68.2,2.63,0.19,1.08,2.06,1.13
"40",1997-07-14,0,"MA",1.69082125603865,66.8,2.68,0.15,1.09,2.06,1.07
"41",1997-07-15,0,"MA",1.7085346215781,65,2.71,0.1,1.05,2.25,0.91
"42",1997-07-16,0,"MA",1.72624798711755,63.3,2.71,0.05,1.06,2.18,1.14
"43",1997-07-17,0,"MA",1.743961352657,67.3,2.63,0.03,1.1,2.12,1.07
"44",1997-07-18,0,"MA",1.76167471819646,74.9,2.58,0.2,0.97,2.07,1.16
"45",1997-07-20,0,"MA",1.77938808373591,70.1,2.67,0.08,0.99,2,1.19
"46",1997-07-21,0,"MA",1.79710144927536,71.6,2.66,0.09,1.07,2.06,1.12
"47",1997-07-22,0,"MA",1.81481481481481,70.6,2.65,0.1,1.06,2.1,1.18
"48",1997-07-23,0,"MA",1.83252818035427,77.2,2.65,0.13,1.01,2.03,1.18
"49",1997-07-24,0,"MA",1.85024154589372,74.3,2.69,0.12,0.99,2.08,1.08
"50",1997-07-25,0,"MA",1.86795491143317,65.1,2.58,0.06,1.04,2.03,1.08
"51",1997-07-27,0,"MA",1.88566827697262,76.3,2.64,0.14,1.09,2.11,1.03
"52",1997-07-28,0,"MA",1.90338164251208,66.5,2.61,0.1,1.05,2.09,1.14
"53",1997-07-29,0,"MA",1.92109500805153,68.1,2.66,0.07,1.06,2.06,1.17
"54",1997-07-30,0,"MA",1.93880837359098,59.3,2.66,0.1,1.02,2.02,1.07
"55",1997-07-31,0,"MA",1.95652173913043,63.9,2.7,0.09,1.06,2.04,1.09
"56",1997-08-01,0,"MA",1.97423510466989,64.9,2.69,0.17,1.05,2.1,1.18
"57",1997-08-02,0,"MA",1.99194847020934,63.5,2.62,0.2,1.02,2.02,1.15
"58",1997-08-03,0,"MA",2.00966183574879,71.2,2.64,0.12,1.02,2.01,1.22
"59",1997-08-04,0,"MA",2.02737520128824,66.3,2.74,0.1,1.03,2.02,1.13
"60",1997-08-05,0,"MA",2.0450885668277,67.5,2.62,0.02,1.12,2,1.16
"61",1997-08-06,0,"MA",2.06280193236715,68.7,2.71,0.11,1.03,1.95,1.03
"62",1997-08-07,0,"MA",2.0805152979066,72,2.66,0.05,1,2.09,1.08
"63",1997-08-08,0,"MA",2.09822866344605,76.4,2.63,0.05,1.14,1.98,1.12
"64",1997-08-09,0,"MA",2.11594202898551,65.9,2.67,0.13,1.05,2.14,1.02
"65",1997-08-10,0,"MA",2.13365539452496,65.7,2.61,0.11,1.1,2.01,1.02
"66",1997-08-11,0,"MA",2.15136876006441,67.1,2.66,0.11,1.04,2.04,1.09
"67",1997-08-12,0,"MA",2.16908212560386,71.4,2.7,0.19,0.98,1.99,1.06
"68",1997-08-13,0,"MA",2.18679549114332,70.1,2.6,0.15,1.1,2.1,1.06
"69",1997-08-14,0,"MA",2.20450885668277,66.7,2.65,0.12,1.01,1.99,1.04
"70",1997-08-15,0,"MA",2.22222222222222,70.3,2.68,0.06,1.1,1.99,1.1
"71",1997-08-16,0,"MA",2.23993558776167,74.3,2.62,0.07,1.01,2.06,1
"72",1997-08-17,0,"MA",2.25764895330113,59.1,2.69,0.06,1.05,2.08,1.04
"73",1997-08-18,0,"MA",2.27536231884058,74.1,2.66,0.24,1.07,1.99,1.08
"74",1997-08-19,0,"MA",2.29307568438003,68.9,2.7,0.14,1.08,1.97,1.02
"75",1997-08-21,0,"MA",2.31078904991948,70.5,2.64,0.15,1.06,2.08,1.14
"76",1997-08-22,0,"MA",2.32850241545894,62.9,2.64,0.06,1.03,2.09,1.05
"77",1997-08-26,0,"MA",2.34621578099839,83.1,2.66,0.21,1.03,1.98,1.06
"78",1997-08-27,0,"MA",2.36392914653784,60.7,2.6,0.15,1,2.05,1.07
"79",1997-08-28,0,"MA",2.38164251207729,59.9,2.66,0.12,0.98,1.99,1.05
"80",1997-08-29,0,"MA",2.39935587761675,67,2.66,0.12,1.02,2.01,1.08
"81",1997-08-30,0,"MA",2.4170692431562,77.5,2.67,0.08,1.01,2.02,1.1
"82",1997-08-31,0,"MA",2.43478260869565,63.2,2.65,0.13,1.03,1.97,1.12
"83",1997-09-01,0,"MA",2.4524959742351,62.2,2.67,0.07,1,2.06,1.03
"84",1997-09-02,0,"MA",2.47020933977456,37.6,2.66,0.14,1.06,1.96,1.1
"85",1997-09-03,0,"MA",2.48792270531401,57.8,2.74,0.08,1.05,2.01,1.06
"86",1997-09-04,0,"MA",2.50563607085346,46.2,2.65,0.15,0.97,2.07,1.02
"87",1997-09-05,0,"MA",2.52334943639291,71.3,2.64,0.18,1.06,1.91,1.04
"88",1997-09-06,0,"MA",2.54106280193237,55.1,2.68,0.13,0.97,1.96,1.11
"89",1997-09-07,0,"MA",2.55877616747182,40.8,2.71,0.01,1.03,1.99,1.11
"90",1997-09-08,0,"MA",2.57648953301127,56.3,2.71,0.07,1.07,2.05,1.15
"91",1997-09-09,0,"MA",2.59420289855072,55,2.64,0.16,1.01,1.96,1.07
"92",1997-09-10,0,"MA",2.61191626409018,50.7,2.58,0.04,1.03,2.05,1
"93",1997-09-11,0,"MA",2.62962962962963,50.1,2.66,0.13,0.98,1.96,1.08
"94",1997-09-12,0,"MA",2.64734299516908,60.7,2.67,0.23,1.09,1.94,1.13
"95",1997-09-13,0,"MA",2.66505636070853,67.3,2.65,0.15,0.96,1.98,1.13
"96",1997-09-14,0,"MA",2.68276972624799,59.9,2.67,0.13,1.09,2.05,1.1
"97",1997-09-15,0,"MA",2.70048309178744,54.5,2.67,0.17,1.09,2.04,1.15
"98",1997-09-16,0,"MA",2.71819645732689,39.9,2.64,0.11,1.03,2.03,1.01
"99",1997-09-17,0,"MA",2.73590982286634,64.7,2.7,0.14,1.06,1.91,1
"100",1997-09-18,0,"MA",2.7536231884058,59.6,2.67,0.03,1.02,2.08,1.09
"101",1997-09-19,0,"MA",2.77133655394525,60.1,2.71,0.11,1.02,2.01,1.14
"102",1997-09-20,0,"MA",2.7890499194847,57.2,2.71,0.09,1.03,2.02,1.01
"103",1997-09-22,0,"MA",2.80676328502415,47.2,2.75,0.12,1.05,2.02,1.1
"104",1997-09-23,0,"MA",2.82447665056361,59.7,2.7,0.16,1.04,2.01,1.14
"105",1997-09-24,0,"MA",2.84219001610306,54,2.68,0.04,1.11,1.94,1.02
"106",1997-09-25,0,"MA",2.85990338164251,55.8,2.64,0.15,1.07,1.95,1
"107",1997-09-26,0,"MA",2.87761674718196,67.1,2.68,0.2,1.11,1.9,1.07
"108",1997-09-27,0,"MA",2.89533011272142,52.8,2.75,0.16,1.06,2.05,1.16
"109",1997-09-28,0,"MA",2.91304347826087,58.7,2.7,0.19,0.97,1.96,1.06
"110",1997-09-29,0,"MA",2.93075684380032,75.1,2.65,0.08,0.98,1.93,1.1
"111",1997-09-30,0,"MA",2.94847020933977,59.2,2.7,0.03,1.08,2.02,1.07
"112",1997-10-01,0,"MA",2.96618357487923,66.4,2.69,0.16,1,1.98,0.96
"113",1997-10-02,0,"MA",2.98389694041868,49.9,2.7,0.08,1.08,1.94,0.93
"114",1997-10-03,0,"MA",3.00161030595813,60.5,2.64,0.07,1.1,1.96,1.13
"115",1997-10-04,0,"MA",3.01932367149758,46.1,2.68,0.05,1.03,1.99,1.12
"116",1997-10-05,0,"MA",3.03703703703704,50.8,2.68,0.11,1.02,2.04,1.01
"117",1997-10-06,0,"MA",3.05475040257649,51.1,2.66,0.05,1.06,2.11,1.01
"118",1997-10-07,0,"MA",3.07246376811594,57.2,2.68,0.15,1,1.97,1.01
"119",1997-10-08,0,"MA",3.09017713365539,64.8,2.68,0.18,1.14,1.96,1.08
"120",1997-10-09,0,"MA",3.10789049919485,56.8,2.7,0.16,1.09,1.96,1.11
"121",1997-10-10,0,"MA",3.1256038647343,44.6,2.65,0.13,1.09,1.97,1.13
"122",1997-10-11,0,"MA",3.14331723027375,47.6,2.74,0.14,0.99,1.91,0.99
"123",1997-10-12,0,"MA",3.1610305958132,56.5,2.73,0.1,0.98,1.92,1.14
"124",1997-10-13,0,"MA",3.17874396135266,48.5,2.62,0.09,1.07,1.97,1.01
"125",1997-10-14,0,"MA",3.19645732689211,46.9,2.67,0.08,1.06,2.01,1.1
"126",1997-10-15,0,"MA",3.21417069243156,65.5,2.67,0.11,1.06,2.03,1.16
"127",1997-10-16,0,"MA",3.23188405797101,52.4,2.71,0.1,1.08,1.88,1.18
"128",1997-10-17,0,"MA",3.24959742351047,60.3,2.67,0.07,0.98,1.94,1.1
"129",1997-10-18,0,"MA",3.26731078904992,63.1,2.66,0.23,1.11,2,0.97
"130",1997-10-19,0,"MA",3.28502415458937,51.5,2.79,0.18,1.05,2.03,1.1
"131",1997-10-20,0,"MA",3.30273752012882,50.4,2.65,0.05,1.1,1.97,1.12
"132",1997-10-21,0,"MA",3.32045088566828,59.7,2.74,0.11,1.01,2,1.16
"133",1997-10-22,0,"MA",3.33816425120773,55.2,2.7,0.09,1.08,2,1.16
"134",1997-10-23,0,"MA",3.35587761674718,45.6,2.66,0.12,0.99,1.97,1.13
"135",1997-10-24,0,"MA",3.37359098228663,50.2,2.67,0.12,1.12,2.05,1.04
"136",1997-10-25,0,"MA",3.39130434782609,54.1,2.71,0.14,1.03,1.96,1.06
"137",1997-10-26,0,"MA",3.40901771336554,52.5,2.65,0.15,1.01,1.97,1.05
"138",1997-10-27,0,"MA",3.42673107890499,56.4,2.64,0.23,1.05,1.93,1.05
