DATE,CORESTICKM159SFRBATL
12/1/1967,3.383497007
1/1/1968,3.659987292
2/1/1968,3.682012499
3/1/1968,4.151667589
4/1/1968,4.165427174
5/1/1968,4.097704474
6/1/1968,4.557597098
7/1/1968,4.766361188
8/1/1968,4.960194431
9/1/1968,4.961849181
10/1/1968,5.198351909
11/1/1968,5.414944837
12/1/1968,5.72486893
1/1/1969,5.765763045
2/1/1969,5.769158001
3/1/1969,6.143376532
4/1/1969,6.524447618
5/1/1969,6.799346963
6/1/1969,6.392103407
7/1/1969,6.404961413
8/1/1969,6.430385766
9/1/1969,6.850795793
10/1/1969,6.574721234
11/1/1969,6.451706907
12/1/1969,6.425116862
1/1/1970,6.628279061
2/1/1970,7.09144749
3/1/1970,7.030543696
4/1/1970,6.855423125
5/1/1970,6.98585698
6/1/1970,7.191308106
7/1/1970,7.04714037
8/1/1970,7.154475413
9/1/1970,7.121184091
10/1/1970,7.097174731
11/1/1970,7.376794582
12/1/1970,7.381000774
1/1/1971,7.042661405
2/1/1971,6.360389898
3/1/1971,5.533559236
4/1/1971,5.338291383
5/1/1971,5.094236396
6/1/1971,5.273268229
7/1/1971,5.199542864
8/1/1971,4.947926701
9/1/1971,4.707522595
10/1/1971,4.41123702
11/1/1971,3.978662385
12/1/1971,3.708040621
1/1/1972,3.755946258
2/1/1972,3.864643731
3/1/1972,4.078580445
4/1/1972,3.991015808
5/1/1972,3.880713129
6/1/1972,3.504240606
7/1/1972,3.481835749
8/1/1972,3.380601319
9/1/1972,3.137835466
10/1/1972,3.344140047
11/1/1972,3.281095844
12/1/1972,3.153985901
1/1/1973,2.847928102
2/1/1973,2.886258664
3/1/1973,2.934248028
4/1/1973,3.036614659
5/1/1973,3.180735955
6/1/1973,3.104206448
7/1/1973,3.018552356
8/1/1973,3.329072164
9/1/1973,3.952644678
10/1/1973,4.775638756
11/1/1973,4.938670847
12/1/1973,5.319843098
1/1/1974,5.857506965
2/1/1974,6.303969131
3/1/1974,6.831393725
4/1/1974,7.120384207
5/1/1974,7.749650582
6/1/1974,8.640321526
7/1/1974,9.552860371
8/1/1974,10.13031909
