DATE,IPN31152N
1/1/1972,60.1529
2/1/1972,67.2738
3/1/1972,74.4713
4/1/1972,78.3607
5/1/1972,85.0335
6/1/1972,100.9164
7/1/1972,100.4452
8/1/1972,96.6676
9/1/1972,86.074
10/1/1972,70.6176
11/1/1972,61.0008
12/1/1972,58.8465
1/1/1973,61.2941
2/1/1973,72.436
3/1/1973,80.3533
4/1/1973,84.1729
5/1/1973,87.6493
6/1/1973,110.0961
7/1/1973,107.7167
8/1/1973,99.9806
9/1/1973,91.9192
10/1/1973,75.5451
11/1/1973,66.1446
12/1/1973,61.7268
1/1/1974,63.1808
2/1/1974,75.5855
3/1/1974,84.5379
4/1/1974,84.859
5/1/1974,90.8295
6/1/1974,110.2547
7/1/1974,104.2233
8/1/1974,101.3504
9/1/1974,89.7633
10/1/1974,73.9316
11/1/1974,66.3695
12/1/1974,61.2611
1/1/1975,64.472
2/1/1975,75.659
3/1/1975,85.4416
4/1/1975,85.3638
5/1/1975,97.6661
6/1/1975,113.8873
7/1/1975,108.4895
8/1/1975,105.1578
9/1/1975,90.401
10/1/1975,75.9578
11/1/1975,70.4379
12/1/1975,62.9408
1/1/1976,62.1361
2/1/1976,74.2916
3/1/1976,87.2367
4/1/1976,90.413
5/1/1976,94.449
6/1/1976,110.3707
7/1/1976,107.7996
8/1/1976,104.1459
9/1/1976,92.5304
10/1/1976,75.3426
11/1/1976,67.7482
12/1/1976,62.6841
1/1/1977,63.9747
2/1/1977,75.3053
3/1/1977,90.3147
4/1/1977,92.9676
5/1/1977,99.4447
6/1/1977,115.0989
7/1/1977,112.6974
8/1/1977,106.761
9/1/1977,92.0197
10/1/1977,76.2702
11/1/1977,67.6102
12/1/1977,61.6376
1/1/1978,62.0842
2/1/1978,73.1007
3/1/1978,84.1942
4/1/1978,89.3366
5/1/1978,92.739
6/1/1978,111.6701
7/1/1978,107.2555
8/1/1978,104.0116
9/1/1978,90.9006
10/1/1978,79.4303
11/1/1978,68.0972
12/1/1978,62.5995
1/1/1979,63.2114
2/1/1979,74.1759
3/1/1979,86.7041
4/1/1979,91.4961
5/1/1979,95.007
6/1/1979,110.461
7/1/1979,107.5035
8/1/1979,107.1211
9/1/1979,95.6277
10/1/1979,79.8576
11/1/1979,68.1141
12/1/1979,63.491
1/1/1980,67.2001
2/1/1980,76.6916
3/1/1980,86.1666
4/1/1980,88.2806
5/1/1980,92.4681
6/1/1980,108.8121
7/1/1980,108.2165
8/1/1980,108.1979
9/1/1980,90.9541
10/1/1980,76.467
11/1/1980,66.6943
12/1/1980,64.0641
1/1/1981,60.7476
2/1/1981,76.7227
3/1/1981,86.8834
4/1/1981,89.3102
5/1/1981,93.9896
6/1/1981,111.0287
7/1/1981,111.1307
8/1/1981,106.4541
9/1/1981,91.7613
10/1/1981,77.1705
11/1/1981,71.2567
12/1/1981,66.8151
1/1/1982,62.278
2/1/1982,77.2827
3/1/1982,88.7959
4/1/1982,86.5305
5/1/1982,93.6493
6/1/1982,107.2899
7/1/1982,101.4821
8/1/1982,98.5257
9/1/1982,86.4686
10/1/1982,72.3078
11/1/1982,66.2398
12/1/1982,61.6641
1/1/1983,63.7255
2/1/1983,74.5953
3/1/1983,86.9172
4/1/1983,83.7847
5/1/1983,94.6367
6/1/1983,110.5584
7/1/1983,107.8748
8/1/1983,105.6151
9/1/1983,96.1825
10/1/1983,79.3072
11/1/1983,70.5733
12/1/1983,65.7919
1/1/1984,67.2132
2/1/1984,85.8885
3/1/1984,97.0888
4/1/1984,102.1573
5/1/1984,108.6909
6/1/1984,129.2666
7/1/1984,125.5418
8/1/1984,116.9936
9/1/1984,107.2405
10/1/1984,88.5515
11/1/1984,80.6465
12/1/1984,74.212
1/1/1985,76.4163
2/1/1985,86.8852
3/1/1985,101.5525
4/1/1985,105.1928
5/1/1985,114.6719
6/1/1985,131.001
7/1/1985,124.9018
8/1/1985,117.8107
9/1/1985,104.3909
10/1/1985,86.4983
11/1/1985,74.8971
12/1/1985,70.8604
1/1/1986,73.9219
2/1/1986,89.2277
3/1/1986,100.3609
4/1/1986,104.6491
5/1/1986,113.6755
6/1/1986,127.7491
7/1/1986,121.728
8/1/1986,119.4737
9/1/1986,97.1883
10/1/1986,86.6922
11/1/1986,77.2178
12/1/1986,70.8428
1/1/1987,74.1773
2/1/1987,94.8264
3/1/1987,103.915
4/1/1987,107.1379
5/1/1987,117.1566
6/1/1987,132.3978
7/1/1987,127.7812
8/1/1987,124.043
9/1/1987,107.0435
10/1/1987,89.6767
11/1/1987,84.892
12/1/1987,79.9536
1/1/1988,80.1564
2/1/1988,98.3369
3/1/1988,115.4726
4/1/1988,119.772
5/1/1988,130.4813
6/1/1988,151.4436
7/1/1988,145.9368
8/1/1988,141.2221
9/1/1988,117.7796
10/1/1988,100.4338
11/1/1988,88.0671
12/1/1988,83.3667
1/1/1989,87.9
2/1/1989,104.6817
3/1/1989,115.7957
4/1/1989,121.5567
5/1/1989,126.4874
6/1/1989,140.8963
7/1/1989,135.4611
8/1/1989,128.6659
9/1/1989,110.8319
10/1/1989,97.7249
11/1/1989,91.018
12/1/1989,86.2821
1/1/1990,82.7891
2/1/1990,104.1081
3/1/1990,117.6661
4/1/1990,122.3472
5/1/1990,126.9464
6/1/1990,141.7437
7/1/1990,144.0977
8/1/1990,129.4984
9/1/1990,114.7849
10/1/1990,98.6782
11/1/1990,88.2084
12/1/1990,86.0144
1/1/1991,85.5438
2/1/1991,105.1973
3/1/1991,118.4905
4/1/1991,123.4273
5/1/1991,128.3364
6/1/1991,157.9838
7/1/1991,141.1198
8/1/1991,136.1025
9/1/1991,121.3664
10/1/1991,104.0896
11/1/1991,92.166
12/1/1991,89.277
1/1/1992,90.5035
2/1/1992,110.7518
3/1/1992,131.8745
4/1/1992,135.6352
5/1/1992,143.2378
6/1/1992,158.7833
7/1/1992,147.5232
8/1/1992,144.3865
9/1/1992,127.4568
10/1/1992,109.8601
11/1/1992,99.6417
12/1/1992,93.2648
1/1/1993,95.6693
2/1/1993,123.8315
3/1/1993,134.0441
4/1/1993,141.2129
5/1/1993,151.0482
6/1/1993,165.6184
7/1/1993,159.9184
8/1/1993,152.7183
9/1/1993,128.7128
10/1/1993,109.9248
11/1/1993,96.628
12/1/1993,90.8064
1/1/1994,99.8061
2/1/1994,120.1003
3/1/1994,134.6919
4/1/1994,141.722
5/1/1994,145.2642
6/1/1994,159.7451
7/1/1994,156.354
8/1/1994,144.0011
9/1/1994,121.6991
10/1/1994,110.2729
11/1/1994,102.3903
12/1/1994,94.4188
1/1/1995,105.269
2/1/1995,122.9616
3/1/1995,139.2933
4/1/1995,150.5011
5/1/1995,149.1536
6/1/1995,174.9853
7/1/1995,173.5367
8/1/1995,165.2306
9/1/1995,138.3655
10/1/1995,127.4047
11/1/1995,108.4178
12/1/1995,96.0767
1/1/1996,109.1208
2/1/1996,129.8431
3/1/1996,145.8974
4/1/1996,152.4661
5/1/1996,157.5116
6/1/1996,184.7316
7/1/1996,169.9428
8/1/1996,153.3897
9/1/1996,136.6672
10/1/1996,113.5511
11/1/1996,97.7301
12/1/1996,94.7288
1/1/1997,103.8974
2/1/1997,127.5293
3/1/1997,138.4987
4/1/1997,137.9532
5/1/1997,142.1147
6/1/1997,158.8859
7/1/1997,146.7862
8/1/1997,137.9639
9/1/1997,116.855
10/1/1997,105.823
11/1/1997,94.8097
12/1/1997,83.8172
1/1/1998,96.8906
2/1/1998,118.6286
3/1/1998,129.7973
4/1/1998,134.8164
5/1/1998,141.0219
6/1/1998,149.769
7/1/1998,139.7473
8/1/1998,130.3342
9/1/1998,115.1136
10/1/1998,96.9114
11/1/1998,82.5265
12/1/1998,78.9363
1/1/1999,86.6679
2/1/1999,100.9397
3/1/1999,106.7338
4/1/1999,113.0035
5/1/1999,116.618
6/1/1999,129.2262
7/1/1999,122.4859
8/1/1999,119.9996
9/1/1999,103.8433
10/1/1999,92.4126
11/1/1999,84.5964
12/1/1999,79.7757
1/1/2000,93.6513
2/1/2000,111.6609
3/1/2000,125.4906
4/1/2000,137.0021
5/1/2000,136.0748
6/1/2000,150.6469
7/1/2000,145.9445
8/1/2000,132.292
9/1/2000,117.5882
10/1/2000,114.1247
11/1/2000,92.9455
12/1/2000,88.808
1/1/2001,101.7034
2/1/2001,116.3419
3/1/2001,123.0619
4/1/2001,134.7958
5/1/2001,132.38
6/1/2001,148.8544
7/1/2001,141.887
8/1/2001,135.1638
9/1/2001,128.9902
10/1/2001,115.4467
11/1/2001,105.3976
12/1/2001,104.9098
1/1/2002,121.3209
2/1/2002,144.1156
3/1/2002,155.6819
4/1/2002,169.7411
5/1/2002,165.7226
6/1/2002,189.449
7/1/2002,173.795
8/1/2002,163.7692
9/1/2002,151.1102
10/1/2002,137.2102
11/1/2002,114.9387
12/1/2002,105.9717
1/1/2003,125.6702
2/1/2003,142.8689
3/1/2003,145.1467
4/1/2003,151.9103
5/1/2003,147.8303
6/1/2003,163.3888
7/1/2003,146.585
8/1/2003,141.5927
9/1/2003,127.1401
10/1/2003,116.2079
11/1/2003,107.019
12/1/2003,93.8187
1/1/2004,104.4377
2/1/2004,126.41
3/1/2004,140.8751
4/1/2004,149.0934
5/1/2004,150.9118
6/1/2004,169.549
7/1/2004,157.7424
8/1/2004,153.9945
9/1/2004,144.8709
10/1/2004,139.9583
11/1/2004,120.8964
12/1/2004,111.6335
1/1/2005,130.6871
2/1/2005,148.6741
3/1/2005,159.7914
4/1/2005,172.3926
5/1/2005,170.5106
6/1/2005,196.8206
7/1/2005,190.8785
8/1/2005,179.8767
9/1/2005,154.2449
10/1/2005,144.6851
11/1/2005,122.6144
12/1/2005,107.2968
1/1/2006,131.2493
2/1/2006,144.7598
3/1/2006,156.8635
4/1/2006,168.2537
5/1/2006,160.435
6/1/2006,183.1928
7/1/2006,176.582
8/1/2006,164.7917
9/1/2006,146.8705
10/1/2006,128.3137
11/1/2006,111.4271
12/1/2006,102.6251
1/1/2007,126.6596
2/1/2007,139.5354
3/1/2007,153.5697
4/1/2007,170.5203
5/1/2007,167.8417
6/1/2007,180.6641
7/1/2007,167.7535
8/1/2007,149.7052
9/1/2007,142.429
10/1/2007,126.7322
11/1/2007,104.3601
12/1/2007,99.8181
1/1/2008,108.3465
2/1/2008,125.224
3/1/2008,140.256
4/1/2008,142.2793
5/1/2008,144.142
6/1/2008,169.9507
7/1/2008,145.4867
8/1/2008,140.2383
9/1/2008,124.4164
10/1/2008,109.3037
11/1/2008,102.7701
12/1/2008,84.0586
1/1/2009,94.4871
2/1/2009,115.5767
3/1/2009,130.0371
4/1/2009,133.4899
5/1/2009,138.4215
6/1/2009,150.823
7/1/2009,134.901
8/1/2009,132.943
9/1/2009,119.8167
10/1/2009,107.1083
11/1/2009,88.13
12/1/2009,78.0391
1/1/2010,91.5783
2/1/2010,110.8511
3/1/2010,127.5039
4/1/2010,133.0735
5/1/2010,134.9921
6/1/2010,144.418
7/1/2010,129.2744
8/1/2010,125.9632
9/1/2010,116.4443
10/1/2010,98.0676
11/1/2010,81.3481
12/1/2010,73.0135
1/1/2011,92.9068
2/1/2011,106.5035
3/1/2011,114.6108
4/1/2011,116.9922
5/1/2011,116.5031
6/1/2011,121.1545
7/1/2011,116.6281
8/1/2011,115.3663
9/1/2011,102.0781
10/1/2011,91.3902
11/1/2011,76.7527
12/1/2011,71.6863
1/1/2012,85.6801
2/1/2012,99.8965
3/1/2012,112.8687
4/1/2012,115.2007
5/1/2012,114.952
6/1/2012,124.7554
7/1/2012,112.692
8/1/2012,107.9826
9/1/2012,96.6639
10/1/2012,89.147
11/1/2012,75.048
12/1/2012,68.9536
1/1/2013,78.3168
2/1/2013,98.2778
3/1/2013,108.1479
4/1/2013,108.1736
5/1/2013,111.1883
6/1/2013,129.0215
7/1/2013,112.6736
8/1/2013,106.3623
9/1/2013,98.498
10/1/2013,91.3043
11/1/2013,80.3577
12/1/2013,68.062
1/1/2014,86.7435
2/1/2014,102.1509
3/1/2014,114.252
4/1/2014,119.8499
5/1/2014,117.1007
6/1/2014,131.5345
7/1/2014,117.6691
8/1/2014,111.737
9/1/2014,100.8456
10/1/2014,91.4113
11/1/2014,86.6614
12/1/2014,75.411
1/1/2015,85.5795
2/1/2015,100.533
3/1/2015,109.5423
4/1/2015,108.342
5/1/2015,106.0861
6/1/2015,116.2604
7/1/2015,108.6193
8/1/2015,112.6288
9/1/2015,100.9017
10/1/2015,94.6212
11/1/2015,86.6467
12/1/2015,77.7988
1/1/2016,93.9231
2/1/2016,103.2774
3/1/2016,117.6877
4/1/2016,125.7593
5/1/2016,122.8904
6/1/2016,134.1437
7/1/2016,125.5011
8/1/2016,121.4053
9/1/2016,107.5323
10/1/2016,100.3333
11/1/2016,85.2618
12/1/2016,79.4809
1/1/2017,88.407
2/1/2017,106.3213
3/1/2017,113.6088
4/1/2017,116.0445
5/1/2017,109.8461
6/1/2017,115.9026
7/1/2017,109.7948
8/1/2017,107.6917
9/1/2017,93.1466
10/1/2017,88.0928
11/1/2017,76.1513
12/1/2017,74.9924
1/1/2018,86.3398
2/1/2018,104.8505
3/1/2018,110.2437
4/1/2018,118.9644
5/1/2018,113.1529
6/1/2018,130.7811
7/1/2018,121.9828
8/1/2018,117.4794
9/1/2018,107.5642
10/1/2018,100.7043
11/1/2018,84.8154
12/1/2018,76.465
1/1/2019,87.8707
2/1/2019,104.3676
3/1/2019,117.0919
4/1/2019,113.9658
5/1/2019,115.4787
6/1/2019,120.697
7/1/2019,106.7465
8/1/2019,107.5007
9/1/2019,100.3787
10/1/2019,91.7124
11/1/2019,78.9224
12/1/2019,75.0474
1/1/2020,83.2602
2/1/2020,98.6914
3/1/2020,108.022
4/1/2020,101.932
5/1/2020,113.2491
6/1/2020,123.5549
7/1/2020,119.4701
8/1/2020,124.6023
9/1/2020,118.0024
10/1/2020,106.4076
11/1/2020,99.7686
12/1/2020,90.7003
1/1/2021,106.4636
2/1/2021,120.1718
3/1/2021,129.3044
4/1/2021,132.5577
5/1/2021,128.057
6/1/2021,131.3761
7/1/2021,127.0658
8/1/2021,125.984
9/1/2021,110.9484
10/1/2021,110.6657
11/1/2021,98.545
12/1/2021,94.2224
1/1/2022,97.5434
2/1/2022,114.0908
3/1/2022,123.2298
4/1/2022,126.4274
5/1/2022,122.4791
6/1/2022,130.4224
7/1/2022,121.8844
8/1/2022,122.4378
9/1/2022,113.5123
10/1/2022,106.8043
11/1/2022,94.9638
12/1/2022,91.1341
1/1/2023,93.7389
2/1/2023,114.6446
3/1/2023,117.1275
4/1/2023,121.9119
5/1/2023,116.6234
6/1/2023,127.5746
7/1/2023,123.3276
